client_id,path,sentence,up_votes,down_votes,age,gender,accent,label
34ff870b1110305542ec25f73b7bc9ed97fca42fa6912cd4e38b3a47d69af6bb80a15442d7037613798724fbc8fe831a872e3e5ed7539df25c80343083f80c7f,common_voice_en_515513.mp3,It occurred to me late last night.,3,0,twenties,female,indian,1
bdea72a9d47e94442507b87873c49c1edbfacfffc03da98530d551fd2f39181bb8e729816907572bf0fd690058342c79ddffff1476a8a0454e42418122d7575d,common_voice_en_19990689.mp3,It has a flint nave and a tall tower.,2,0,fifties,female,us,3
18ae3b317f15a738e98fc195f953e7f975a9f2ec9bd739e3cdf054c7bafdded24be9b549f9fffa5cc1a9446ae31619cfbd832c74597b9e1e5bc97cef15cc5081,common_voice_en_18692841.mp3,There is no post office located within the city limits of Woodbranch.,2,0,fifties,female,canada,3
d04be77638426a43fc49ca2753cc2d4f1295a72f9f625b56d6bb280f48785bce9100f40a2d0325c163a04ee13f83f47754bef986c0665b703455bfa3be502d73,common_voice_en_17269220.mp3,You don’t like him?,2,0,fifties,female,,3
a9a05a120ee3221579ba9b34fa7c23596d8bf5e4cd3543ce103330dab78f4ec22444e6f9bab61a65de1eff8d9a2d3179c642c7a5f438b3c3a8b57bef256b8af6,common_voice_en_17823432.mp3,In correct time musical'.,2,0,twenties,female,us,1
1021e146675cfa012da5d577b0c590b05b1843f6cf0755fca2d7197743507f6d4234740af632151c4f47ee3b64d47a697efeefbddae60b7a63730a3567c8e17d,common_voice_en_18508663.mp3,At the same time spears and arrows began to fall among the invaders.,2,0,twenties,female,,1
c948b5166ffa7f0a17b7d067f7f99418cfe1cf101ee9b845047cdcb43911af6bc2c5f775f5099e60052e8edf9d59a2a0fdd906095c9ea0f02c8af763b2088235,common_voice_en_29323.mp3,Can I do something Cassie?,3,0,fifties,female,indian,3
4dcbcad4784e1ed4ac8b4ff5041d6563a4715c625ebbbc049b4ad77c30bf8cb977caf1642d910741d6ec38dcec1b7595f3d78b0e0e6910180e33e8df9354fc9c,common_voice_en_18664686.mp3,They spoke Bangla in Bangladesh.,2,1,twenties,female,,1
18ae3b317f15a738e98fc195f953e7f975a9f2ec9bd739e3cdf054c7bafdded24be9b549f9fffa5cc1a9446ae31619cfbd832c74597b9e1e5bc97cef15cc5081,common_voice_en_18698904.mp3,Probably the greatest influence is the country in which the municipality is located.,2,0,fifties,female,canada,3
24105d140cc9ae0700c9e6d314fb2a6689a145a4f38fd2d97ecc5c1535c1e874dca15f309ce1141dfe3bb6c473ce72bd75ddf04dfafd73617f5f1ea127c02e81,common_voice_en_17463519.mp3,What did you do?,2,0,twenties,female,us,1
aeb58f13f4f137160ece95dea0f088be143dd8684d60a0836190502c1130c934f4839da8548796a5e1673bd03cab919ba81ab06e1c62d4a39a1f0eda290f4f80,common_voice_en_658390.mp3,"Ouch, that was uncalled for.",3,0,fifties,female,us,3
adcdfe601c29b7ff4198113ed2248e5cc7ceb0495acabe1cac1d99edc9577608795684f49ebdd9f213f3529fa8731885a2e8058b169c5d21282c9e15f29514ee,common_voice_en_540160.mp3,I use the mark ring in Emacs to jump to previous locations.,3,2,twenties,female,england,1
c948b5166ffa7f0a17b7d067f7f99418cfe1cf101ee9b845047cdcb43911af6bc2c5f775f5099e60052e8edf9d59a2a0fdd906095c9ea0f02c8af763b2088235,common_voice_en_30048.mp3,You've put one administration out and another in.,2,1,fifties,female,indian,3
d4de4d50d202fb063eeb3f2d4d84cc4e429d499d508579d9085fa27e66ae1546aaacf815e0aab64a0721909eeacbca389c740a04b960fded98192913092f72ea,common_voice_en_19414479.mp3,Distribution of the Hymenochaetales is cosmopolitan.,2,0,twenties,female,us,1
c948b5166ffa7f0a17b7d067f7f99418cfe1cf101ee9b845047cdcb43911af6bc2c5f775f5099e60052e8edf9d59a2a0fdd906095c9ea0f02c8af763b2088235,common_voice_en_28138.mp3,The lumberjack jumped up the tree.,3,0,fifties,female,indian,3
7cbf197695734dc82496550a5fbeb46d23378a16671b190f0556f7fc8185ee4c28ab92565fbd17f913675a17b0fb3a5da8496a551780ed24266e7da98057333c,common_voice_en_19669148.mp3,The largest collection is held by Salford City Council and displayed at The Lowry.,2,1,fifties,female,us,3
34c345be64c229959661569fbe0082fc643e39460ca4fd085957e8aaaa6691333f7c2a2504b5e863838d80c6e75c02400acce28f537daa7d5aea106409e8fe6e,common_voice_en_18525000.mp3,"""This is a lovely place,"" said Richard, looking round.",2,1,fifties,female,us,3
3f15e2fece31ee9305b7c1949128fad62cf72c2f4602217adaa39de119034476f3d567d6428b08fa5cded2f5220e8ec2908a86f35621a6825433b3393d59d942,common_voice_en_141937.mp3,Yesterday my wife bought new pillows for herself.,3,0,fifties,female,england,3
a10a55d198d33f8d37a5befc18f040e137178fbacae281e6e8f8c9d08f2ed0c23ba90fdfefeefe2a03b80d4fb9dcf8028dae11b6fc04a42276a40b11ff0c180d,common_voice_en_19752833.mp3,"Its other main tributaries, Ring and Mashiter Creeks, enter near the river's mouth.",2,0,twenties,female,,1
b2edbaf2449d2051c6c0e481dd0b7f512d2b37be0e41e687dd16186780c2a30030ebfe5729f22ef20290f9e3ed42fb040b654fd59829fe0f3576cbfe4982c487,common_voice_en_20134974.mp3,"Mason of Method, North Carolina.",2,0,twenties,female,,1
2db5a49b39d9e80d2b27b67a015fe20bd160af125e394e018237a20dc33bc9b62f8e38c867971cd0c2b9bccdf1468ed9b220628d57c7c8b865e7080813a5aafe,common_voice_en_497977.mp3,All I say is spit them out!,2,0,twenties,female,australia,1
c948b5166ffa7f0a17b7d067f7f99418cfe1cf101ee9b845047cdcb43911af6bc2c5f775f5099e60052e8edf9d59a2a0fdd906095c9ea0f02c8af763b2088235,common_voice_en_28722.mp3,Finally I didn't have to feel guilty for using my computer on weekends.,2,1,fifties,female,indian,3
aeb58f13f4f137160ece95dea0f088be143dd8684d60a0836190502c1130c934f4839da8548796a5e1673bd03cab919ba81ab06e1c62d4a39a1f0eda290f4f80,common_voice_en_658445.mp3,I had it served with my breakfast this morning.,2,0,fifties,female,us,3
676e239deb342fbddc32ac5ac5628570910869eb0291399b0c5b19b81bb8ffa37e0a226dd1a97b2497a9d570c51a1d1c11e37eda51ce31f2b2bf012597b33159,common_voice_en_19723714.mp3,"At the service, he gave a tearful speech during the eulogy.",2,0,twenties,female,us,1
6ab16e7b00340e34226f4077634ba9d5f243916f83d1f6fc221296c241d71080eb107c813520781d166f1d3ee4668b615c59bdb214d3726ef93a8af6ea2225eb,common_voice_en_19163031.mp3,The election was won by Grover Cleveland of the Democratic Party.,2,0,twenties,female,us,1
135d5ed7ac8d28a7bb4afabd68549e481087fe34d09fb60c1ae0992b0cdccddb24f6b5c86c5a6742ebcfb7e739b0ff7a2b7561584e980f6d7996ab1e57da8aed,common_voice_en_18869120.mp3,"The band's fourth album, ""Back to Mystery City"", was released shortly afterward.",2,1,fifties,female,england,3
f748c3446cc12be48e26ebea896c3422ed8c447593cb4ebea1b829cb299d1bd5fb6d9d0b08be0d399a19a66dc5241d83603859cc01caa939d3dff5059e02abce,common_voice_en_18404238.mp3,But I didn't.,2,0,twenties,female,canada,1
8d9933bc194f614ba4150f5542c4a6bb83c44ba1dcd0ad6a04784e043d6f0784149eb58f13ee0947e4178673f237f01a39b78f0fca62f0001e099200482abfa3,common_voice_en_20087102.mp3,Seventh Army Symphony Orchestra.,2,0,twenties,female,,1
34ff870b1110305542ec25f73b7bc9ed97fca42fa6912cd4e38b3a47d69af6bb80a15442d7037613798724fbc8fe831a872e3e5ed7539df25c80343083f80c7f,common_voice_en_515451.mp3,Do you know what's wrong with you?,2,0,twenties,female,indian,1
d24761934cf64e2f187a776b0431cce1e6e53f8b20c31aa2ed646ea3c21c0c89ffb013e6bf052aeab334e3f30814554b11dc69fce9ed6b427f2042224a05ea24,common_voice_en_18276669.mp3,Formula one racing is performed by highly skilled drivers.,2,0,twenties,female,,1
c921a35b46417c423222faa2494dead40300552bd2c2f73094cc1eb47eb38e378151bcd5517546641b5a39b40e513dff086c74707cd8a8532fe45f393b3117af,common_voice_en_551532.mp3,"I think it's about bird hunting, but now I can see how that might be misinterpreted.",2,0,fifties,female,us,3
e7fe5c7fc85b7bbb8b86acb13ab60d854ecdc9649e79c9c5297b93f195bb8210667b50acfd882c8527ed6848f604ba3c234c6acc2b71feb6b9c43792a9cdb4a6,common_voice_en_17300629.mp3,"While some admired the prophet, others accused him of blasphemy, and now he seeks sanctuary abroad.",2,0,twenties,female,indian,1
0dde7c611efe1244d3226ecf1741e8e2e4b7d72a651221b402a52b4a0c777cc4f9d1b18b9c095b1ad3818b62546aeaf85934808278fa3b2eae7c9666feb0b4dc,common_voice_en_17653286.mp3,"Good wine ruins the purse, and bad wine ruins the stomach.",2,0,twenties,female,us,1
81a3d33314bc9ab9c27c64bd296e0768cfc8c957b296bddebf76e8565f01f02ff24812eaf8c509f4eef3806f4f268951ad5448cf538973859720e4bd3c26c5e3,common_voice_en_20115380.mp3,Ao Ao is known for eating clothes.,2,0,twenties,female,,1
